,Number of trajectories,AUROC,AUPR,state estimator
2,3,0.9225333333333332,0.589374104326734,exact update
3,4,0.9423555555555556,0.6915837204679891,exact update
4,5,0.9460444444444445,0.691605557783769,exact update
5,6,0.9608444444444444,0.7554988294967955,exact update
6,7,0.9763999999999999,0.8427563195260948,exact update
7,8,0.9752888888888889,0.8249094468746574,exact update
8,9,0.9747111111111111,0.8479657778398179,exact update
9,10,0.9744888888888888,0.829017472052584,exact update
10,11,0.9857777777777778,0.8994894004909376,exact update
11,12,0.9914222222222222,0.9298297574223564,exact update
12,13,0.9917333333333334,0.9433457082388786,exact update
13,14,0.9968,0.9763973844960558,exact update
14,15,0.9958222222222222,0.9698757493318765,exact update
15,16,0.9969333333333333,0.974893373541615,exact update
16,17,0.9950222222222223,0.9644373248969416,exact update
17,18,0.9991111111111111,0.9921924318460312,exact update
18,19,0.9988888888888888,0.9865235937417245,exact update
19,20,0.9982666666666666,0.9830357356496346,exact update
20,21,0.9984888888888889,0.9891429707344943,exact update
21,22,0.9976888888888888,0.9839174634099632,exact update
22,23,0.9993333333333333,0.9933678147918096,exact update
23,24,0.9973777777777778,0.9804167450266579,exact update
24,25,0.9964,0.973800816943438,exact update
25,26,0.9982222222222222,0.9866513782482988,exact update
26,27,0.9998666666666666,0.9988570391872279,exact update
27,28,1.0,1.0,exact update
28,29,1.0,1.0,exact update
29,30,0.9999111111111111,0.9992232277526396,exact update
0,1,0.8265777777777779,0.3027322746732011,exact update
1,2,0.9062666666666668,0.470557778457664,exact update
2,3,0.9080444444444444,0.4402992028328789,exact update
3,4,0.9082666666666668,0.41443242883281306,exact update
4,5,0.9583555555555556,0.6833434665273912,exact update
5,6,0.9538222222222222,0.6307457457085903,exact update
6,7,0.9581777777777778,0.6594001802220878,exact update
7,8,0.963288888888889,0.6759039610363866,exact update
8,9,0.9584888888888888,0.6890264469304188,exact update
9,10,0.9723111111111111,0.8007903121114277,exact update
10,11,0.9722666666666666,0.8013902157184731,exact update
11,12,0.9838222222222222,0.8173362771047151,exact update
12,13,0.9777333333333333,0.8209356592277222,exact update
13,14,0.9787555555555556,0.8157858943412646,exact update
14,15,0.9832444444444445,0.8610425207087746,exact update
15,16,0.9720888888888889,0.7751045962042334,exact update
16,17,0.9821333333333333,0.8648380653031396,exact update
17,18,0.9861777777777777,0.8981609612783614,exact update
18,19,0.9808888888888889,0.8453525290906807,exact update
19,20,0.984,0.8933558967967309,exact update
20,21,0.9886222222222222,0.9191011472843668,exact update
21,22,0.9884888888888889,0.9098183209116475,exact update
22,23,0.9882666666666667,0.902579677986815,exact update
23,24,0.9908,0.9317731017480839,exact update
24,25,0.9927999999999999,0.94647325231061,exact update
25,26,0.9965777777777778,0.9747479909379567,exact update
26,27,0.9938222222222222,0.9430955052529864,exact update
27,28,0.9968888888888888,0.9778761965621636,exact update
28,29,0.9989333333333333,0.990798403179902,exact update
29,30,0.9974666666666667,0.9807265055190789,exact update
0,1,0.8468444444444444,0.40913138597020976,exact update
1,2,0.9337777777777777,0.5831821868698389,exact update
2,3,0.9395555555555557,0.6780118661525238,exact update
3,4,0.948,0.739990452086875,exact update
4,5,0.9586222222222223,0.7443252391865699,exact update
5,6,0.9804444444444445,0.8776762824708613,exact update
6,7,0.9830666666666668,0.90328493625658,exact update
7,8,0.9907111111111111,0.9322024516195755,exact update
8,9,0.9900444444444445,0.9198800230526174,exact update
9,10,0.9929333333333334,0.9516928263476918,exact update
10,11,0.9947111111111111,0.9549190473342893,exact update
11,12,0.9968888888888888,0.9743911986109957,exact update
12,13,0.9954666666666666,0.9716448364531927,exact update
13,14,0.9956888888888888,0.9809445436429115,exact update
14,15,0.9964444444444445,0.969855928389431,exact update
15,16,0.9982222222222222,0.9902402290266549,exact update
16,17,0.9996444444444444,0.9967716510720136,exact update
17,18,0.9996444444444444,0.9968837175508811,exact update
18,19,1.0,1.0,exact update
19,20,0.999511111111111,0.9963633879781422,exact update
20,21,1.0,1.0,exact update
21,22,0.9999555555555555,0.9996039215686274,exact update
