,b1,b2,b3,b4
384,0.0,0.39,0.6,0.010000000000000009
385,0.0,0.42,0.0,0.5800000000000001
386,0.0,0.42,0.03,0.55
387,0.0,0.42,0.06,0.52
388,0.0,0.42,0.09,0.4900000000000001
389,0.0,0.42,0.12,0.4600000000000001
390,0.0,0.42,0.15,0.43000000000000005
391,0.0,0.42,0.18,0.4000000000000001
392,0.0,0.42,0.21,0.3700000000000001
393,0.0,0.42,0.24,0.3400000000000001
394,0.0,0.42,0.27,0.31000000000000005
395,0.0,0.42,0.3,0.2800000000000001
396,0.0,0.42,0.32999999999999996,0.2500000000000001
397,0.0,0.42,0.36,0.22000000000000008
398,0.0,0.42,0.39,0.19000000000000006
399,0.0,0.42,0.42,0.1600000000000001
400,0.0,0.42,0.44999999999999996,0.13000000000000012
401,0.0,0.42,0.48,0.10000000000000009
402,0.0,0.42,0.51,0.07000000000000006
403,0.0,0.42,0.54,0.040000000000000036
404,0.0,0.42,0.57,0.01000000000000012
405,0.0,0.44999999999999996,0.0,0.55
406,0.0,0.44999999999999996,0.03,0.52
407,0.0,0.44999999999999996,0.06,0.49000000000000005
408,0.0,0.44999999999999996,0.09,0.4600000000000001
409,0.0,0.44999999999999996,0.12,0.43000000000000005
410,0.0,0.44999999999999996,0.15,0.4
411,0.0,0.44999999999999996,0.18,0.37000000000000005
412,0.0,0.44999999999999996,0.21,0.3400000000000001
413,0.0,0.44999999999999996,0.24,0.31000000000000005
414,0.0,0.44999999999999996,0.27,0.28
415,0.0,0.44999999999999996,0.3,0.25000000000000006
416,0.0,0.44999999999999996,0.32999999999999996,0.22000000000000008
417,0.0,0.44999999999999996,0.36,0.19000000000000006
418,0.0,0.44999999999999996,0.39,0.16000000000000003
419,0.0,0.44999999999999996,0.42,0.13000000000000006
420,0.0,0.44999999999999996,0.44999999999999996,0.10000000000000009
421,0.0,0.44999999999999996,0.48,0.07000000000000006
422,0.0,0.44999999999999996,0.51,0.040000000000000036
423,0.0,0.44999999999999996,0.54,0.010000000000000009
424,0.0,0.48,0.0,0.52
425,0.0,0.48,0.03,0.49
426,0.0,0.48,0.06,0.46
427,0.0,0.48,0.09,0.43000000000000005
428,0.0,0.48,0.12,0.4
429,0.0,0.48,0.15,0.37
430,0.0,0.48,0.18,0.34
431,0.0,0.48,0.21,0.31000000000000005
432,0.0,0.48,0.24,0.28
433,0.0,0.48,0.27,0.25
434,0.0,0.48,0.3,0.22000000000000003
435,0.0,0.48,0.32999999999999996,0.19000000000000006
436,0.0,0.48,0.36,0.16000000000000003
