,X,Y,Z,W,Q,T,time,experiment
150,0.0,0.0,1.0,0.0,1.0,1.0,46.3526260294303,2
151,0.0,0.0,1.0,0.0,1.0,0.0,46.41238753793519,2
152,1.0,0.0,1.0,0.0,1.0,0.0,46.4550332043168,2
153,1.0,1.0,1.0,0.0,1.0,0.0,47.10570739380303,2
154,1.0,1.0,0.0,0.0,1.0,0.0,47.27260509597441,2
155,0.0,1.0,0.0,0.0,1.0,0.0,47.555645214799775,2
156,0.0,1.0,0.0,0.0,1.0,1.0,47.60423038476815,2
157,1.0,1.0,0.0,0.0,1.0,1.0,48.035185948813144,2
158,1.0,1.0,1.0,0.0,1.0,1.0,48.481110872917505,2
159,0.0,1.0,1.0,0.0,1.0,1.0,48.994897019263256,2
160,0.0,0.0,1.0,0.0,1.0,1.0,49.07336415696016,2
161,0.0,0.0,0.0,0.0,1.0,1.0,49.098495729230095,2
162,0.0,0.0,0.0,1.0,1.0,1.0,49.39718476962358,2
163,0.0,0.0,0.0,0.0,1.0,1.0,49.55823366330007,2
164,0.0,0.0,1.0,0.0,1.0,1.0,50.442386739866855,2
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3
1,0.0,1.0,0.0,0.0,1.0,0.0,0.07126927210449491,3
2,0.0,1.0,0.0,0.0,1.0,1.0,0.9537368181367163,3
3,0.0,1.0,0.0,0.0,1.0,0.0,1.1282248242188164,3
4,0.0,1.0,0.0,0.0,1.0,1.0,1.4249020255029374,3
5,0.0,1.0,0.0,1.0,1.0,1.0,1.6583356536900389,3
6,0.0,1.0,0.0,1.0,0.0,1.0,2.8536291251549843,3
7,0.0,1.0,0.0,1.0,0.0,0.0,3.0563002491523528,3
8,0.0,1.0,0.0,1.0,1.0,0.0,3.3626346403806844,3
9,0.0,1.0,0.0,1.0,1.0,1.0,4.060227958708099,3
10,0.0,1.0,1.0,1.0,1.0,1.0,4.602253085921564,3
11,0.0,0.0,1.0,1.0,1.0,1.0,4.782594701337571,3
12,1.0,0.0,1.0,1.0,1.0,1.0,4.787284218922362,3
13,1.0,0.0,1.0,1.0,1.0,0.0,4.987876950316175,3
14,1.0,0.0,1.0,1.0,0.0,0.0,5.040545508505779,3
15,0.0,0.0,1.0,1.0,0.0,0.0,5.462793664446527,3
16,1.0,0.0,1.0,1.0,0.0,0.0,5.606899067047924,3
17,1.0,1.0,1.0,1.0,0.0,0.0,6.139264171826853,3
18,1.0,1.0,1.0,1.0,0.0,1.0,6.390732782391972,3
19,0.0,1.0,1.0,1.0,0.0,1.0,7.712720924334375,3
20,0.0,1.0,1.0,1.0,0.0,0.0,8.62983705437186,3
21,0.0,1.0,1.0,0.0,0.0,0.0,8.892039675902543,3
22,0.0,1.0,1.0,1.0,0.0,0.0,9.616943785310513,3
23,1.0,1.0,1.0,1.0,0.0,0.0,10.070456584232684,3
24,1.0,1.0,1.0,0.0,0.0,0.0,10.593705530893049,3
25,0.0,1.0,1.0,0.0,0.0,0.0,10.80816940588721,3
26,0.0,1.0,0.0,0.0,0.0,0.0,11.366406045281831,3
27,0.0,1.0,1.0,0.0,0.0,0.0,12.748973028379334,3
28,1.0,1.0,1.0,0.0,0.0,0.0,13.275433650391433,3
29,1.0,1.0,0.0,0.0,0.0,0.0,14.194894966671983,3
30,0.0,1.0,0.0,0.0,0.0,0.0,14.234385720867127,3
31,1.0,1.0,0.0,0.0,0.0,0.0,14.376703440559453,3
32,1.0,1.0,0.0,0.0,1.0,0.0,15.247287724578824,3
33,1.0,1.0,0.0,0.0,0.0,0.0,15.83177289310775,3
34,0.0,1.0,0.0,0.0,0.0,0.0,15.957892345965998,3
35,1.0,1.0,0.0,0.0,0.0,0.0,16.173716465003274,3
36,1.0,1.0,0.0,0.0,0.0,1.0,17.0943993357391,3
37,1.0,1.0,0.0,0.0,1.0,1.0,17.10452685488481,3
38,1.0,1.0,0.0,0.0,0.0,1.0,17.19047457392999,3
39,1.0,1.0,0.0,0.0,0.0,0.0,17.47327728416106,3
40,1.0,1.0,0.0,1.0,0.0,0.0,18.036456071471374,3
41,1.0,1.0,1.0,1.0,0.0,0.0,18.56590450055683,3
42,1.0,1.0,1.0,1.0,0.0,1.0,19.998678538935245,3
43,1.0,1.0,1.0,0.0,0.0,1.0,20.5322215609811,3
44,1.0,0.0,1.0,0.0,0.0,1.0,20.820559695578652,3
45,0.0,0.0,1.0,0.0,0.0,1.0,21.100667856344717,3
46,0.0,0.0,1.0,1.0,0.0,1.0,21.461261565047355,3
47,0.0,0.0,1.0,1.0,0.0,0.0,21.611450847508074,3
48,0.0,0.0,0.0,1.0,0.0,0.0,21.946708434157415,3
49,1.0,0.0,0.0,1.0,0.0,0.0,22.08221469800514,3
50,1.0,0.0,0.0,1.0,1.0,0.0,22.406321986308257,3
51,0.0,0.0,0.0,1.0,1.0,0.0,22.801623088637395,3
52,0.0,0.0,0.0,0.0,1.0,0.0,23.014134514526358,3
